,SN,z_helio,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,AV,AV_err,theta,theta_err
0,2004ef,0.03098,0.03007,0.0005,35.501509999999996,0.05106,35.52088,0.09152,10.74,0.0458,53264.9,0.31914000000000003,0.04545,1.00712,0.11335
1,2004eo,0.015619999999999998,0.01521,0.0005,33.996809999999996,0.10095,33.81682,0.09208999999999999,11.16,0.09300000000000001,53278.9,0.205,0.038110000000000005,1.53231,0.08797
2,2004ey,0.01584,0.0154,0.0005,34.02409,0.09971000000000001,34.10958,0.09432,10.06,0.1197,53304.81,0.0759,0.03348,-1.00266,0.08635
3,2004gs,0.0274,0.02865,0.0005,35.39413,0.05359,35.382259999999995,0.09341,10.63,0.0257,53356.75,0.5794600000000001,0.04771,1.7687599999999999,0.19285
4,2005M,0.02462,0.024319999999999998,0.0005,35.03117,0.06314,35.1225,0.09498999999999999,8.8,0.0273,53405.94,0.13368,0.03828,-1.44095,0.10928
5,2005al,0.0124,0.0124,0.0005,33.54855,0.12383,34.0617,0.09387000000000001,10.49,0.0483,53431.04,0.02215,0.01888,0.73117,0.15294000000000002
6,2005am,0.0079,0.00914,0.0005,32.88067,0.16799,32.4153,0.09604,10.83,0.0433,53437.43,0.18111,0.050230000000000004,1.80767,0.17384000000000002
7,2005bo,0.0139,0.01439,0.0005,33.8751,0.1067,33.63408,0.10452,10.5,0.0396,53479.58,0.95683,0.06496,0.42403,0.21148000000000003
8,2005el,0.01491,0.01526,0.0005,34.00403,0.10062,33.992979999999996,0.09062,10.84,0.0976,53647.42,0.03627,0.026010000000000002,1.12055,0.15679
9,2005eq,0.02891,0.028360000000000003,0.0005,35.371559999999995,0.05414,35.44885,0.09627999999999999,10.56,0.0629,53654.85,0.15757000000000002,0.04178,-1.3320299999999998,0.14797000000000002
10,2005hc,0.045939999999999995,0.046919999999999996,0.0005,36.49498,0.03273,36.48778,0.09585,10.6,0.027999999999999997,53667.14,0.12305999999999999,0.047689999999999996,-1.0589600000000001,0.14772000000000002
11,2005iq,0.03404,0.03355,0.0005,35.74501,0.04577,35.87722,0.09683,10.54,0.0185,53688.14,0.11631,0.0452,0.48891,0.18308
12,2005kc,0.015090000000000001,0.014490000000000001,0.0005,33.8903,0.10597000000000001,33.76538,0.08866,11.06,0.1137,53698.31,0.9362299999999999,0.04439,-0.61327,0.18566
13,2005ki,0.019459999999999998,0.02028,0.0005,34.62999,0.07571,34.62133,0.09222999999999999,10.8,0.0267,53706.01,0.06343,0.0344,1.1645299999999998,0.16667
14,2005ku,0.04541,0.04634,0.0005,36.467040000000004,0.03313,36.39788,0.10879000000000001,10.04,0.0461,53698.89,0.34784,0.07372000000000001,-0.58825,0.20913
15,2005lu,0.032010000000000004,0.03174,0.0005,35.62162,0.04838,35.71247,0.11275999999999999,9.86,0.0218,53712.08,0.74284,0.06736,-1.4259,0.21073000000000003
16,2005na,0.02632,0.02723,0.0005,35.2814,0.056389999999999996,35.14606,0.09529,10.97,0.0681,53740.47,0.16516,0.05413,-0.54891,0.19412000000000001
17,2006D,0.00853,0.00898,0.0005,32.84205,0.17099,32.83742,0.09555,9.76,0.0394,53757.84,0.36422,0.04092,0.96957,0.17815
18,2006X,0.00524,0.00365,0.0005,30.87807,0.42067,30.8126,0.8807299999999999,9.33,0.0228,53786.79,2.62093,0.74983,-0.30817,0.56161
19,2006ax,0.01672,0.01797,0.0005,34.36353,0.08545,34.32213,0.09122999999999999,10.92,0.040999999999999995,53827.78,0.08263999999999999,0.03787,-0.7750199999999999,0.1248
20,2006bh,0.01085,0.01075,0.0005,33.2357,0.14282999999999998,33.32823,0.09176000000000001,10.43,0.0228,53834.14,0.12684,0.03671,1.16927,0.16546
21,2006ej,0.020380000000000002,0.02052,0.0005,34.65593,0.07483,34.67051,0.10342,10.63,0.0296,53977.24,0.1643,0.0581,1.12366,0.18215
22,2006et,0.02264,0.022680000000000002,0.0005,34.87685,0.0677,34.674209999999995,0.09773,10.8,0.0165,53994.34,0.49801000000000006,0.039310000000000005,-1.27274,0.13874
23,2006gj,0.02829,0.02822,0.0005,35.36058,0.05441,35.267509999999994,0.10057999999999999,10.53,0.0705,54001.01,1.01889,0.049510000000000005,2.3326599999999997,0.19061
24,2006hb,0.015340000000000001,0.01385,0.0005,33.791129999999995,0.11085999999999999,33.93804,0.09593,10.22,0.0236,54002.75,0.40813,0.04439,1.96871,0.17565
25,2006hx,0.045489999999999996,0.04483,0.0005,36.39268,0.03425,36.15535,0.09402999999999999,10.31,0.0256,54022.33,0.53384,0.058870000000000006,-0.45052,0.17649
26,2006is,0.031,0.03295,0.0005,35.704840000000004,0.0466,35.528529999999996,0.09445,7.1,0.028999999999999998,54007.14,0.00942,0.00914,-1.51744,0.14143
27,2006kf,0.020040000000000002,0.01942,0.0005,34.534459999999996,0.07907,34.705859999999994,0.08851,10.82,0.2097,54041.86,0.18666,0.04147,2.11423,0.1648
28,2006lu,0.0534,0.0546,0.0005,36.8364,0.02812,36.776759999999996,0.10252,10.29,0.0986,54035.42,0.047619999999999996,0.04057,-0.5242,0.15475
