SN z vsi vsi_err salt2c salt2c_err salt2_x1 salt2_x1_err t0 t0_err mB mB_err mures mures_err hostM hostM_err
2016afk 0.046 -12.62 0.25 0.035 0.035 -0.27 0.2 57440.77 0.25 17.48 0.04 0.12 0.15 9.77 0.16
2016coj 0.005 -11.95 0.22 -0.011 0.032 -1.51 0.07 57548.16 0.09 12.84 0.04 - - 10.83 0.16
2016cor 0.05 -9.63 0.23 0.144 0.034 -0.57 0.28 57541.73 0.24 18.1 0.04 0.2 0.15 10.29 0.16
2016cvv 0.045 -12.26 0.57 0.067 0.038 1.37 0.29 57558.34 0.62 17.21 0.05 -0.0 0.17 11.1 0.16
2016esh 0.045 -10.45 0.22 -0.097 0.038 -1.32 0.25 57613.29 0.2 16.83 0.04 -0.25 0.16 9.94 0.16
2016glp 0.085 -16.77 0.24 0.133 0.041 0.96 0.35 57658.74 0.22 18.86 0.06 0.0 0.15 10.9 0.16
2016gmg 0.049 -10.93 0.23 -0.046 0.041 -1.76 0.26 57662.14 0.22 17.52 0.05 0.03 0.16 11.4 0.16
2016gsu 0.076 -10.04 0.23 -0.114 0.045 -1.88 0.54 57671.15 0.47 18.3 0.04 0.13 0.18 10.37 0.16
2016hhv 0.062 -11.42 0.24 -0.175 0.056 -0.76 0.45 57691.77 1.83 17.6 0.11 0.03 0.18 11.5 0.16
2016htn 0.053 -10.32 0.23 0.08 0.035 -0.18 0.32 57701.31 0.26 17.78 0.04 -0.02 0.16 10.74 0.16
2016ixf 0.066 -10.84 0.22 -0.107 0.039 0.76 0.33 57742.63 0.71 17.79 0.05 0.19 0.17 7.87 0.16
2017cfc 0.024 -10.04 0.24 -0.008 0.03 -0.9 0.08 57837.52 0.1 15.89 0.03 -0.01 0.17 10.65 0.16
2017cii 0.033 -10.16 0.22 -0.103 0.033 0.34 0.14 57837.44 0.54 16.28 0.04 0.09 0.16 9.78 0.16
2017ciy 0.038 -9.59 0.23 -0.012 0.035 1.2 0.19 57838.64 0.55 17.09 0.04 0.39 0.16 10.21 0.16
