,SN,z_helio,z_helio_err,z_HD,z_HD_err,mu_ext,mu_ext_err,mu,mu_err,log_Mass,EBV_MW,T0,T0_err,AV,AV_err,theta,theta_err
0,2016afk,0.045610000000000005,1e-05,0.04686,1e-05,36.4921,0.02317,36.59705,0.12095999999999998,9.982000000000001,0.049836,57439.85,0.49,0.24261999999999997,0.06535,-0.08127000000000001,0.21765
1,2016W,0.01925,7e-05,0.020130000000000002,7e-05,34.613609999999994,0.05446,34.47912,0.10918,11.388,0.059888199999999996,57417.95,0.2,0.22178,0.06023,1.28273,0.13634000000000002
2,ASASSN-15bc,0.036719999999999996,0.0001,0.03801,0.0001,36.0233,0.02913,36.02041,0.1129,10.187000000000001,0.0374655,57047.21,0.33,0.25037,0.05533,-0.55129,0.17123
3,ASASSN-15fa,0.02735,1e-05,0.027260000000000003,1e-05,35.283840000000005,0.03984,35.23506,0.10955999999999999,11.267999999999999,0.0235997,57104.32,0.2,0.30827,0.059320000000000005,0.84735,0.17827
4,ASASSN-15fs,0.029019999999999997,5e-05,0.02925,5e-05,35.44012,0.0373,35.30712,0.11329000000000002,10.379000000000001,0.0774664,57112.82,0.35,0.14007999999999998,0.053360000000000005,-0.45663000000000004,0.15045999999999998
5,ASASSN-15go,0.01892,0.00015,0.01879,0.00015,34.46179,0.060329999999999995,34.63172,0.12593,10.072000000000001,0.13748,57122.08,1.12,0.64718,0.08993,-1.7433299999999998,0.54803
6,ASASSN-15hg,0.02992,1e-05,0.03112,1e-05,35.57776,0.0349,35.74272,0.11861,10.507,0.0420214,57132.39,0.4,0.08738,0.05167000000000001,1.4654,0.17352
7,ASASSN-15il,0.02332,0.00015,0.02289,0.00015,34.89721,0.04952,34.76313,0.10804000000000001,10.134,0.14965,57162.12,0.33,0.04803,0.034589999999999996,-0.83283,0.14812999999999998
8,ASASSN-15jl,0.03468,1e-05,0.0352,1e-05,35.85195,0.03085,35.89543,0.11560999999999999,9.101,0.0137576,57165.79,0.27,0.09569,0.0529,-0.6808,0.16351
9,ASASSN-15jt,0.02306,1e-05,0.02178,1e-05,34.78743,0.04986,35.0867,0.11762,10.162,0.00965878,57168.64,0.19,0.37101999999999996,0.06447,2.84808,0.1701
10,ASASSN-15kx,0.018019999999999998,8e-05,0.01715,8e-05,34.260740000000006,0.06411,34.54222,0.11175999999999998,10.187000000000001,0.14107999999999998,57192.25,0.18,0.08199,0.04651,1.54267,0.15219000000000002
11,ASASSN-15la,0.027819999999999998,1e-05,0.028239999999999998,1e-05,35.36215,0.03845,35.36622,0.1184,11.049000000000001,0.01626,57188.54,0.49,0.08492000000000001,0.05247,-0.15491,0.21818
12,ASASSN-15lg,0.02015,1e-05,0.02018,1e-05,34.61908,0.053810000000000004,34.5527,0.11172,9.836,0.026513099999999998,57196.72,0.16,0.08425,0.04881,1.51508,0.16075
13,ASASSN-15lu,0.03505,1e-05,0.036430000000000004,1e-05,35.928540000000005,0.029810000000000003,36.108509999999995,0.11029000000000001,10.227,0.013812799999999998,57200.92,0.26,0.04004,0.031939999999999996,0.7566,0.18999000000000002
14,ASASSN-15mf,0.026039999999999997,1e-05,0.02652,1e-05,35.22286,0.04095,35.2693,0.11057,10.547,0.0317787,57213.16,0.28,0.0453,0.03567,0.92494,0.18839
15,ASASSN-15mg,0.04278,1e-05,0.0446,1e-05,36.38114,0.02435,36.34158,0.11893,10.134,0.0278557,57218.49,0.31,0.20190999999999998,0.06252,0.9953200000000001,0.19243
16,ASASSN-15mi,0.03442,0.0,0.03595,0.0,35.89895,0.0302,35.54567,0.11642999999999999,9.755,0.018092,57220.84,0.24,0.151,0.05897,-0.43418999999999996,0.15741
17,ASASSN-15np,0.03768,5e-05,0.038860000000000006,5e-05,36.0727,0.02808,36.07736,0.12522,10.122,0.026422,57241.74,1.12,0.22029,0.07818,0.76739,0.26
18,ASASSN-15nq,0.03036,1e-05,0.02995,1e-05,35.49263,0.03626,35.51559,0.11306,10.873,0.0398663,57247.95,0.28,0.07031,0.04411,0.07874,0.17018
19,ASASSN-15nr,0.023209999999999998,0.00018,0.02343,0.00018,34.94874,0.04925,34.84643,0.11406,10.44,0.11158,57249.75,0.3,0.22783,0.06287000000000001,-0.9493299999999999,0.1702
20,ASASSN-15od,0.0176,1e-05,0.01726,1e-05,34.274809999999995,0.06292,34.37557,0.10910999999999998,9.899,0.025505200000000002,57256.88,0.38,0.06397,0.04402,0.76022,0.20021
21,ASASSN-15oh,0.01684,0.00011,0.01574,0.00011,34.07208,0.07063,34.41489,0.11947999999999999,10.270999999999999,0.12766,57255.97,0.25,0.11173,0.06658,1.9572,0.33825
22,ASASSN-15pm,0.048780000000000004,0.00015,0.04847,0.00015,36.56804,0.02339,36.516,0.11187000000000001,10.667,0.027652099999999995,57278.05,0.34,0.06445,0.04583,-0.60919,0.15955999999999998
