SN z vsi vsi_err salt2c salt2c_err salt2_x1 salt2_x1_err t0 t0_err mB mB_err hostM hostM_err
2004dt 0.02 -15.93 0.22 -0.041 0.025 -0.3 0.03 53239.79 0.03 14.95 0.03 10.55 0.16
2004ef 0.031 -12.29 0.23 0.087 0.021 -1.4 0.02 53264.22 0.03 16.61 0.02 10.9 0.14
2004eo 0.015 -10.57 0.22 0.005 0.022 -1.22 0.02 53278.42 0.03 14.84 0.03 11.09 0.14
2004ey 0.016 -11.2 0.4 -0.131 0.02 0.08 0.02 53304.53 0.02 14.46 0.03 10.01 0.14
2004gc 0.032 -10.34 0.49 0.092 0.023 -0.64 0.04 53326.26 0.14 16.55 0.04 10.43 0.16
2004gs 0.028 -11.48 0.24 0.123 0.022 -1.88 0.03 53356.03 0.06 16.9 0.02 10.82 0.16
2004gu 0.046 -10.63 0.37 - - - - - - - - 10.36 0.18
2005A 0.018 -14.05 0.24 0.981 0.022 -0.42 0.03 53380.0 0.06 17.93 0.02 11.27 0.16
2005ag 0.079 -11.56 0.43 -0.045 0.023 0.27 0.05 53414.84 0.09 18.19 0.02 11.46 0.16
2005al 0.012 -10.74 0.25 -0.129 0.023 -1.31 0.02 53430.68 0.01 14.61 0.02 10.86 0.16
2005am 0.008 -12.16 0.23 0.007 0.023 -1.86 0.03 53436.18 0.1 13.4 0.02 11.17 0.36
2005be 0.035 -9.32 0.62 - - - - - - - - 10.53 0.2
2005bg 0.023 -10.79 0.36 -0.025 0.022 0.39 0.06 53469.84 0.12 15.6 0.02 10.24 0.16
2005bl 0.024 -9.93 0.24 - - - - - - - - 11.17 0.16
2005bo 0.014 -11.39 0.22 0.226 0.023 -1.11 0.12 53478.77 0.15 15.4 0.02 10.43 0.13
2005el 0.015 -10.8 0.22 -0.149 0.024 -1.27 0.04 53646.8 0.05 14.61 0.03 10.97 0.16
2005eq 0.029 -10.1 0.25 0.014 0.022 1.45 0.05 53654.77 0.1 16.05 0.03 10.8 0.2
